2014-05-142 15:17:25.471 习席 登录了 
2014-05-142 15:17:25.477 习席 登录了 
2014-05-142 15:18:49.694 习席 登录了 
2014-05-142 15:20:21.643 习席 登录了 
2014-05-142 15:21:38.216 习席 登录密码输入错误 
2014-05-142 15:23:31.976 习席 登录了 
2014-05-142 15:24:03.722 有人用帐号：xxx 登录,不存在该帐号 
2014-05-142 15:26:09.754 李丽 登录了 
2014-05-142 15:26:16.171 王非 登录了 
2014-05-150 17:20:27.057 习席 登录成功 
2014-06-10 10:22:08| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.038 秒  
2014-06-10 10:22:08| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.006 秒  
2014-06-10 11:05:24| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.031 秒  
2014-06-10 11:05:24| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.006 秒  
2014-06-10 12:12:08| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.021 秒  
2014-06-10 12:12:08| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.006 秒  
2014-06-10 12:20:57| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.026 秒  
2014-06-10 12:20:57| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.006 秒  
2014-06-16 14:32:17| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.016 秒  
2014-06-16 14:32:17| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 14:34:04| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 14:34:04| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 14:34:19| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 14:34:19| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 14:34:33| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 14:34:33| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 14:35:40| 耗时com.app.ea.api.ImpEa.getUserbyAccount("admin",)耗时0.001 秒  
2014-06-16 14:36:37| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.005 秒  
2014-06-16 14:36:51| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 14:36:51| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 14:36:54| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 14:38:07| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 14:38:25| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 14:42:28| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 14:42:28| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 14:48:04| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 14:48:04| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 14:51:59| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.016 秒  
2014-06-16 14:51:59| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.0 秒  
2014-06-16 15:04:34| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 15:05:18| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.004 秒  
2014-06-16 15:12:30| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 15:13:15| 耗时com.app.ea.api.ImpEa.getUserbyAccount("xixi",)耗时0.001 秒  
2014-06-16 15:25:40| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.004 秒  
2014-06-16 15:25:40| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 15:31:09| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 15:31:09| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 15:34:00| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 15:34:00| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 15:40:50| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 15:40:50| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 15:52:28| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 15:52:28| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 15:55:20| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.031 秒  
2014-06-16 15:55:20| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:04:51| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.305 秒  
2014-06-16 16:04:52| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.019 秒  
2014-06-16 16:04:58| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:04:58| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:06:38| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.014 秒  
2014-06-16 16:06:38| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:17:55| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:17:55| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:18:14| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.005 秒  
2014-06-16 16:18:14| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:20:42| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:20:42| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.004 秒  
2014-06-16 16:20:55| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 16:20:55| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:21:51| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.005 秒  
2014-06-16 16:21:51| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:23:01| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.005 秒  
2014-06-16 16:23:01| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 16:23:39| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 16:23:39| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 16:23:48| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 16:23:48| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:24:11| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:24:11| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
2014-06-16 16:24:37| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.003 秒  
2014-06-16 16:24:37| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.001 秒  
2014-06-16 16:25:23| 耗时com.app.ea.api.ImpEa.getAllUser()耗时0.002 秒  
